"id","accurateId","name","code","address","latitude","longitude","phone","notes","createdAt","updatedAt"
"cmny5d5cn000bif04ltkmjfc5","C.00393","Abah Tani Boyolali","C.00393","Dusun 3, Winong, Boyolali",-7.529925,110.575027,"+62 821-3309-8545",,"2026-04-14 04:54:25.367","2026-04-27 04:05:31.484"
"cmny5d5cq000cif04c8pe613r","C.01001","Abba Tani Tegal","C.01001","Raya Kalipedes, Kalipedes, Sigedong, Kecamatan Bumijawa",-7.217386854,109.127215542,"+62 852-9026-0714",,"2026-04-14 04:54:25.371","2026-04-27 04:05:31.489"
"cmny5d5cu000dif04hnqreoay","C.01577","Abdhi Tani Muntilan Magelang","C.01577","C75G+XGV, Jalan, Sawah, Gunungpring, Muntilan, Magelang Regency, Central Java 56415",-7.5900867,110.27619,"081316910284",,"2026-04-14 04:54:25.375","2026-04-27 04:05:31.493"
"cmny5d5cy000eif04uo6xw221","C.02562","Abdi Tani Blora","C.02562","DESA SUMBER, RT./RW/RW.002/013, DUKOH, TAMBAK, Kacamatan Sub-District, Kabupaten Blora, Jawa Tengah 58383, Indonesia",-7.2225278,111.4572904,"0882006294540",,"2026-04-14 04:54:25.378","2026-04-27 04:05:31.496"
"cmny5d5d1000fif04tny9xtr1","C.00399","Abdi Tani Cilacap","C.00399","Sampang Selatan, Sampang",-7.5673783,109.2005448,"+62 813-2709-6494",,"2026-04-14 04:54:25.382","2026-04-27 04:05:31.501"
"cmny5d5d5000gif0411qru9yo","NT/001","Abdi Tani Demak","NT/001","2MVX+FC9, Jl. Gajah-Dempet, Wonopolo, Dempet, Kec. Dempet, Kabupaten Demak, Jawa Tengah 59573",-6.956342536,110.698640456,"‪ 081326311418‬",,"2026-04-14 04:54:25.386","2026-04-27 04:05:31.505"
"cmny5d5d9000hif04rak1cf69","C.00491","Abdi Tani Gunungkidul","C.00491","3HC8+MFX, National Rte 3, Jambu Rejo, Bandung, Playen",-7.9282664,110.566228,"+62 817-7940-1702",,"2026-04-14 04:54:25.389","2026-04-27 04:05:31.51"
"cmny5d5dd000iif04qmf4bfbv","C.02196","Abdi Tani Karangnongko Klaten","C.02196","8HG7+PXH, Kenter, Demakijo, Kec. Karangnongko, Kabupaten Klaten, Jawa Tengah 57483",-7.6731393,110.5648999,"082242776996",,"2026-04-14 04:54:25.393","2026-04-27 04:05:31.513"
"cmny5d5dg000jif042dsu947c","C.02300","Abdi Tani Sumpiuh Banyumas","C.02300","989W+G2R, Jl. Pramuka, Kuntili, Kec. Sumpiuh, Kabupaten Banyumas, Jawa Tengah 53195",-7.631139,109.3450105,"08882575616",,"2026-04-14 04:54:25.397","2026-04-27 04:05:31.517"
"cmny5d5dk000kif04g94sa4g1","C.00280","Abdul Rohman","C.00280","Teluk RT/RW 006/002 Ds. Teluk  Kec. Karangawen",-7.05627,110.542066,,,"2026-04-14 04:54:25.4","2026-04-27 04:05:31.521"
"cmny5d5dn000lif04kb26hsnc","C.02614","Abi Tani 2 Pulosari Pemalang","C.02614","R7C8+PMF TOKO ABI TANI 2, Jl. Lembu, Tumbu Timur, Pulosari, Kec. Pulosari, Kabupaten Pemalang, Jawa Tengah 52355, Indonesia",-7.1781904,109.2666738,"083861207610",,"2026-04-14 04:54:25.404","2026-04-27 04:05:31.524"
"cmny5d5dr000mif04glal7h5s","C.01948","Abi Tani Ngombol Purworejo","C.01948","4XX4+438, Kalangan, Wonosari, Kec. Ngombol, Kabupaten Purworejo, Jawa Tengah 54172",-7.852211,109.9551979,"083156935955",,"2026-04-14 04:54:25.407","2026-04-27 04:05:31.529"
"cmny5d5du000nif04q84dq7vg","C.00277","Abimanyu Tani Takeran","C.00277","Timang, Rt 2 Rw. 1, Waduk, Kec. Takeran",-7.6712845,111.4783918,"+62 813-9439-0059",,"2026-04-14 04:54:25.41","2026-04-27 04:05:31.533"
"cmny5d5dy000oif04wkkft5q0","C.00082","Aby Tani Brebes","C.00082","Dukuh Rantam RT/RW 009/005 Ds. Rengaspendawa, Kec. Larangan",-6.9557782,108.9987701,"087733035442",,"2026-04-14 04:54:25.414","2026-04-27 04:05:31.538"
"cmny5d5e1000pif04qn076i5z","C.02323","Adda Tani Mirit Kebumen","C.02323","Jl. Daendels Gang Aglik Selatan, Lembupunyo, Lembupurwo, Kec. Mirit, Kabupaten Kebumen, Jawa Tengah 54395",-7.8089368,109.8117768,"082136784264",,"2026-04-14 04:54:25.418","2026-04-27 04:05:31.543"
"cmny5d5e5000qif04voyefqjm","NT/109","Ade","NT/109","Semarang",-7.0087042,110.3447949,,,"2026-04-14 04:54:25.421","2026-04-27 04:05:31.547"
"cmny5d5e9000rif04ivwh08f0","C.01578","Adem Ayem Dawe Kudus","C.01578","7V4M+32M Margorejo, Kabupaten Kudus, Jawa Tengah",-6.7446912,110.8824605,"085700261981",,"2026-04-14 04:54:25.425","2026-04-27 04:05:31.551"
"cmny5d5ed000sif04c3fjdew5","C.01312","Adem Ayem Pakis Aji Jepara","C.01312","9QWG+R75 Tanjung, Kabupaten Jepara, Jawa Tengah",-6.602720487,110.775719691,"+62 823-2560-1475",,"2026-04-14 04:54:25.43","2026-04-27 04:05:31.555"
"cmny5d5eh000tif04hvqmmmlm","C.00665","Adhi Jaya Tani","C.00665","Jakatamu Kidul, Jagalempeni, Wanasari",-6.9302988,109.0146694,"+62 858-6767-1167",,"2026-04-14 04:54:25.433","2026-04-27 04:05:31.56"
"cmny5d5ek000uif04l0lud0md","C.01612","Adhie Muhammad Nuriyanto","C.01612",,-7.0088594,110.3470897,,,"2026-04-14 04:54:25.436","2026-04-27 04:05:31.564"
"cmny5d5en000vif04kq5lgzkm","C.01064","Adi Putra Grobogan","C.01064","Tarub, Kec. Tawangharjo",-7.061036793,111.016516657,"+62 882-3393-2877",,"2026-04-14 04:54:25.44","2026-04-27 04:05:31.567"
"cmny5d5er000wif04o9t0s9n8","C.01282","Adi Tani Jaya Tegal","C.01282","Jl. Raya Cenggini Rt 06/Rw 01, dk Sarang, Cenggini, Kec. Balapulang",-7.114242637,109.090613098,"+62 823-2242-3145",,"2026-04-14 04:54:25.444","2026-04-27 04:05:31.571"
"cmny5d5eu000xif04dt4pih0q","C.01665","Adi Tani Kebasen Banyumas","C.01665","F52J+9H9, Cindaga, Kec. Kebasen, Kabupaten Banyumas, Jawa Tengah 53172",-7.5490964,109.1814933,"081327718720",,"2026-04-14 04:54:25.447","2026-04-27 04:05:31.575"
"cmny5d5ey000yif04t7mtok7f","C.01338","Adi Tani Kembang Jepara","C.01338","GQ3M+XG7 Kancilan, Jepara Regency, Central Java",-6.49484345,110.783816328,"082136734811",,"2026-04-14 04:54:25.45","2026-04-27 04:05:31.579"
"cmny5d5f2000zif04pzelk1b6","NT/122","Aditya","NT/122","Semarang",-7.0087042,110.3447949,,,"2026-04-14 04:54:25.454","2026-04-27 04:05:31.583"
"cmny5d5f50010if04r64xs8g2","C.00949","Adrian","C.00949","Jalan pala 15 no 286",-6.874831,109.153646,,,"2026-04-14 04:54:25.458","2026-04-27 04:05:31.592"
"cmny5d5f90011if041m16eq49","C.01809","Agave - Biboki Moenleu","C.01809","QHWW+W3P Oepuah Sel., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",-9.2026674,124.5926177,"085134927898",,"2026-04-14 04:54:25.461","2026-04-27 04:05:31.595"
"cmny5d5fg0013if04czrks9ug","C.01994","Agri Tani Jaya Bukateja Purbalingga","C.01994","Jl, Dusun 5, Kebutuh, Kec. Bukateja, Kabupaten Purbalingga, Jawa Tengah 53382",-7.425183,109.4639124,"085713331756",,"2026-04-14 04:54:25.468","2026-04-27 04:05:31.604"
"cmny5d5fj0014if04hjll1iqn","C.01371","Agrivani Tani Wedarijaksa Pati","C.01371","832G+X4H Jontro, Kabupaten Pati, Jawa Tengah",-6.697358471,111.075275269,"085866407179",,"2026-04-14 04:54:25.472","2026-04-27 04:05:31.608"
"cmny5d5fn0015if04keiyt4xm","C.01938","Agro 8 Nusawungu Cilacap","C.01938","Banjarsari, RT.03/RW.04, Simanis, Banjarsari, Kec. Nusawungu, Kabupaten Cilacap, Jawa Tengah 53283",-7.705647,109.3668464,"+62 813-9382-3188",,"2026-04-14 04:54:25.476","2026-04-27 04:05:31.612"
"cmny5d5fr0016if04zskjxmzv","C.00586","Agro Berkah Mandiri Klaten","C.00586","Sultan Agung No.8A, Cantelan, Belang Wetan, Kec. Klaten Utara",-7.690304556,110.6347818,"+62 857-2534-6903",,"2026-04-14 04:54:25.479","2026-04-27 04:05:31.616"
"cmny5d5fu0017if04yyv9xc88","C.00834","Agro Buana Matesih","C.00834","TP. Joko Songo, Alerejo, Matesih, Kec. Matesih, Kabupaten Karanganyar, Jawa Tengah 57781",-7.650791633,111.046120357,"+62 852-2647-9022",,"2026-04-14 04:54:25.483","2026-04-27 04:05:31.619"
"cmny5d5fy0018if04xggpj6wt","C.00672","Agro Dipa","C.00672","Jl. Raya Batur, Batur Kulon, Batur, Kab Banjarnegara",-7.189160669,109.82392256,"085227522882",,"2026-04-14 04:54:25.486","2026-04-27 04:05:31.623"
"cmny5d5g10019if04z5zvk6vm","C.00428","Agro Makmur Rembang","C.00428","Gading Timur, Gading, Kec. Sale",-6.8812885,111.5620337,"+62 852-2234-5879",,"2026-04-14 04:54:25.49","2026-04-27 04:05:31.627"
"cmny5d5g6001aif04voxug578","C.02517","Agro Mandiri Kebonarum Klaten","C.02517","8H32+MW3, Jl. Deles Indah, Dusun II, Menden, Kec. Kebonarum, Kabupaten Klaten, Jawa Tengah 57486, Indonesia",-7.695858,110.552287,"087739770066",,"2026-04-14 04:54:25.494","2026-04-27 04:05:31.631"
"cmny5d5g9001bif04kwzewjcd","C.02052","Agro Mandiri Wonosari Klaten","C.02052","Jl. Wonosari No.2, Dusun I, Pandanan, Kec. Wonosari, Kabupaten Klaten, Jawa Tengah 57473",-7.61474,110.7363489,"081393487888",,"2026-04-14 04:54:25.497","2026-04-27 04:05:31.635"
"cmny5d5gc001cif04jvxpidne","C.01832","Agro Mbanyu Asmara Gunungpati Semarang","C.01832","Kandri, Gunung Pati, Semarang City, Central Java 50222",-7.002039,110.3801557,"+62 812-2510-1741",,"2026-04-14 04:54:25.501","2026-04-27 04:05:31.638"
"cmny5d5gf001dif040homws3a","C.02056","Agro Pandawa Srandakan Bantul","C.02056","26PM+F7Q, Sambong 2, Poncosari, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762",-7.963794,110.2332447,"085713879826",,"2026-04-14 04:54:25.504","2026-04-27 04:05:31.642"
"cmny5d5gj001eif0447v7u6fw","C.02495","Agro Perwira Karangmuncol Purbalingga","C.02495","MFH6+WC5, Karang Sari, Karangsari, Kec. Karangmoncol, Kabupaten Purbalingga, Jawa Tengah 53355, Indonesia",-7.3202249,109.4611071,"085817705119",,"2026-04-14 04:54:25.507","2026-04-27 04:05:31.646"
"cmny5d5gx001fif04lyy96opu","C.01147","Agro Sari Rejeki Banyuwangi","C.01147","Dsn Pasembon RT.5, RT.5/RW.5, Pasembon, Sambirejo, Kec. Bangorejo",-8.5078185,114.1506777,"+62 852-0399-3333",,"2026-04-14 04:54:25.521","2026-04-27 04:05:31.65"
"cmny5d5h1001gif04r7cpfvo7","C.00397","Agro Smart Pati","C.00397","Juwana - Tayu No.KM 11, Kadilangu, Kec. Trangkil",-6.6439838,111.0829304,"+62 852-1514-2639",,"2026-04-14 04:54:25.525","2026-04-27 04:05:31.654"
"cmny5d5h5001hif04xu9xkd83","C.02336","Agro Tani Makmur Ngemplak Boyolali","C.02336","Jl. Ngemplak, Borongan, Giriroto, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",-7.4964232,110.7966752,"082138592204",,"2026-04-14 04:54:25.529","2026-04-27 04:05:31.658"
"cmny5d5h9001iif04o4u8ihdb","C.01348","Agro Tani Nalumsari Jepara","C.01348","7Q2V+WCQ Nalumsari, Kabupaten Jepara, Jawa Tengah",-6.7473737,110.793632557,"087833955798",,"2026-04-14 04:54:25.533","2026-04-27 04:05:31.662"
"cmny5d5hc001jif04nvfzw0ci","C.00814","Agroindo Makmur Bantul","C.00814","Pleret No.Km 4, Tegal Jatimulyo, Jambidan, Kec. Banguntapan, Kabupaten Bantul",-7.859756911,110.4090835,"+62 857-2930-6468",,"2026-04-14 04:54:25.537","2026-04-27 04:05:31.666"
"cmny5d5hf001kif04fsja5oui","C.01219","Agrotama Kalikajar Wonosobo","C.01219","HW88+6PX, Mangunan, Mangunrejo, Kec. Kalikajar, Kabupaten Wonosobo, Jawa Tengah",-7.43410902,109.916850957,"+62 815-6796-4274",,"2026-04-14 04:54:25.54","2026-04-27 04:05:31.67"
"cmny5d5hj001lif04b2zw6izg","C.00151","Agrotani Kendal","C.00151","Sureman, Margomulyo, Kec. Pegandon",-6.9853896,110.1474222,"08170588294",,"2026-04-14 04:54:25.544","2026-04-27 04:05:31.674"
"cmny5d5hn001mif04yfix2ke3","C.01465","Agrovetro - Selong","C.01465","9G36+GGW, Pancor, Kec. Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611",-8.6461496,116.5112106,"08771136099",,"2026-04-14 04:54:25.548","2026-04-27 04:05:31.678"
"cmny5d5hr001nif04wfemjl0e","C.01047","Agung Abdi Wonosobo","C.01047","F2RP+5FQ Randusari, Kabupaten Wonosobo, Jawa Tengah",-7.509378884,110.036207084,"+62 882-3842-8337",,"2026-04-14 04:54:25.551","2026-04-27 04:05:31.682"
"cmny5d5hu001oif04mgpkam64","C.00543","Agung Ari Sulistio","C.00543","Kembang Jeruk 2 No 33 RT 004 RW 008, Tlogosari Kulon, Pedurungan",-7.0087042,110.3447949,,,"2026-04-14 04:54:25.555","2026-04-27 04:05:31.685"
"cmny5d5hx001pif04tb1u5ucu","C.00802","Agung Jaya","C.00802","Bakal Rejo Pulo RT 01/04 guntur Demak",-6.965695703,110.614016233,"0882007415401",,"2026-04-14 04:54:25.558","2026-04-27 04:05:31.69"
"cmny5d5i1001qif040vmb9qm2","C.00484","Agung Rejeki Magelang","C.00484","Kyai Raden Syahid, Ngablak, Ngluwar, Kec. Ngluwar",-7.6550084,110.2829102,"+62 857-2685-8733",,"2026-04-14 04:54:25.561","2026-04-27 04:05:31.693"
"cmny5d5i4001rif04d8rqtsi7","C.01756","Agung Tani Grobogan","C.01756","XWHC+3P8 Grobogan, Kabupaten Grobogan, Jawa Tengah",-7.022333,110.9218333,"082226455729",,"2026-04-14 04:54:25.565","2026-04-27 04:05:31.697"
"cmny5d5i8001sif04rxmvcmub","C.01720","Agung Tani Kutoarjo Purworejo","C.01720","8WGG+PX3, Dusun II, Tursino, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54212",-7.673244,109.9274196,"088226678815",,"2026-04-14 04:54:25.568","2026-04-27 04:05:31.701"
"cmny5d5ib001tif04cnsucm7a","C.00472","Agus Tani Pakan Lele","C.00472","Mangunsari, Kec. Gunung Pati",-7.0746497,110.3840061,"0831-7636-5488",,"2026-04-14 04:54:25.572","2026-04-27 04:05:31.709"
"cmny5d5if001uif04vj05f78y","C.01467","Aik Mening - Terara","C.01467","8CH6+36H, Leming, Kec. Terara, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83663",-8.6732393,116.4100409,"087763926550",,"2026-04-14 04:54:25.575","2026-04-27 04:05:31.714"
"cmny5d5ii001vif04fqwj9yps","C.01548","Aira Tani Sukorejo Kendal","C.01548","W279+HQ5 Selokaton, Kabupaten Kendal, Jawa Tengah",,,"085546449432",,"2026-04-14 04:54:25.579","2026-04-27 04:05:31.718"
"cmny5d5im001wif04rcn58tef","C.00071","Aji Jaya","C.00071","Dsn. Krajan Lor RT.012 RW.001 Ds.Tuko, Kec. Pulokulon",-7.1299172,111.0911599,"6282311857250",,"2026-04-14 04:54:25.583","2026-04-27 04:05:31.722"
"cmny5d5iq001xif04nxmnd60c","C.01609","Aji Jaya Berkah Grobogan","C.01609","Kemloko",-7.0455278,110.7937778,"+62 858-8285-8203",,"2026-04-14 04:54:25.586","2026-04-27 04:05:31.726"
"cmny5d5it001yif04k19s09j7","C.01733","Aji Makmur Pulokulon Grobogan","C.01733","Jl. Raya Panunggalan No.158, Jiret, Jetaksari, Kec. Pulokulon, Kabupaten Grobogan, Jawa Tengah 58181",-7.124745,111.0391409,"082311857250",,"2026-04-14 04:54:25.59","2026-04-27 04:05:31.73"
"cmny5d5ix001zif04j97puzqq","C.02073","Aji Tani Mirit Kebumen","C.02073","6QVH+VRP, Jl. Raya Mirit, Tanjungrejo, Pekutan, Kec. Mirit, Kabupaten Kebumen, Jawa Tengah 54395",-7.755286,109.7795932,"082242652155",,"2026-04-14 04:54:25.594","2026-04-27 04:05:31.734"
"cmny5d5j00020if04i9u3hcy1","C.01288","Akar Mas Kalikajar Wonosobo","C.01288","JX4P+7G5 Kembaran, Kabupaten Wonosobo, Jawa Tengah",-7.394234625,109.986371828,"+62 852-2810-7974",,"2026-04-14 04:54:25.597","2026-04-27 04:05:31.749"
"cmny5d5j40021if04hpbl80qb","NT/169","Akbar Tani","NT/169","Jl. Luwung Batang Rt 004 / Rw 002 Kel. Luwung Batang Kec. Tanjung",-6.8988553,108.8338692,"081902055501",,"2026-04-14 04:54:25.601","2026-04-27 04:05:31.753"
"cmny5d5jf0024if04fczqf1ou","C.00336","Al Barokah Tani Banjarnegara","C.00336","Banjarnegara, Buaran, Kutawuluh, Purwanegara",-7.434271,109.599724,"+62 813-2763-7934",,"2026-04-14 04:54:25.612","2026-04-27 04:05:31.765"
"cmny5d5jj0025if041tpcmza3","C.02374","Al Fatih Tani - Kuripan","C.02374","75XG+X87 Kuripan Sel., Kabupaten Lombok Barat, Nusa Tenggara Bar.",-8.7000975,116.1758074,"085942917191",,"2026-04-14 04:54:25.615","2026-04-27 04:05:31.769"
"cmny5d5jm0026if0429iau0je","C.00808","Al Hidayah","C.00808","Jl. Demak - Bonang No.Rt 01, RT.01/RW.03, Rw. II, Bonangrejo, Kec. Bonang, Kabupaten Demak, Jawa Tengah 59552",-6.8525592,110.5965286,"083156550205",,"2026-04-14 04:54:25.619","2026-04-27 04:05:31.775"
"cmny5d5jq0027if047fkwydri","C.01208","Al Jaya Kedung Jepara","C.01208","7MP6+CVC Tedunan, Kabupaten Jepara, Jawa Tengah",-6.713811209,110.662160357,"+62 857-1327-1111",,"2026-04-14 04:54:25.622","2026-04-27 04:05:31.779"
"cmny5d5ju0028if04ypavif6x","C.00651","Al Qomar / Agriaku","C.00651","3JM4+HRJ, Nusa Indah, Karangrejo, Kecamatan Wonosalam",-6.913002,110.611565,"085879238355",,"2026-04-14 04:54:25.626","2026-04-27 04:05:31.783"
"cmny5d5jx0029if04fh5drrzw","C.01506","Alam Makmur - Kota Lama Kupang","C.01506","Jl. Siliwangi No.16, Bonipoi, Kec. Kota Lama, Kota Kupang, Nusa Tenggara Timur",-1.01593195,123.5793539,"081338439549",,"2026-04-14 04:54:25.63","2026-04-27 04:05:31.787"
"cmny5d5k1002aif04bcngm2y7","C.00266","Alam Tani","C.00266","2XQR+JM6, Rantam, Rengaspendawa, Kec. Larangan",-6.96096,108.9916523,"+62 823-2280-7983",,"2026-04-14 04:54:25.633","2026-04-27 04:05:31.79"
"cmny5d5k4002bif04f613erri","C.00757","Alam Tani Pekalongan","C.00757","Jl. Raya Doro-Petungkriyono, Siumbung, Doro, Kec. Doro, Kabupaten Pekalongan",-7.0281022,109.688547,"085329720426",,"2026-04-14 04:54:25.637","2026-04-27 04:05:31.794"
"cmny5d5k8002cif04z5q29ciw","C.00532","Albert Agung Wahyu Wibowo","C.00532","Jl. Kenanga Baru Rejosari RT 010/002, Ds. Genuk, Kec. Ungaran Barat",-7.0087042,110.3447949,,,"2026-04-14 04:54:25.64","2026-04-27 04:05:31.799"
"cmny5d5kc002dif04h2cdsdqg","C.01265","Aldi Tani Garung Wonosobo","C.01265","Tedunan, Mlandi, Garung, Wonosobo Regency, Central Java 56353",-7.269624543,109.909386701,"+62 823-1156-7048",,"2026-04-14 04:54:25.644","2026-04-27 04:05:31.803"
"cmny5d5kf002eif04q4nj7dzn","C.00200","Aleksa Tani Boyolali","C.00200","Dusun I, Sruni, Kec. Musuk",-7.5700718,110.491301,"+62 813-2892-3327",,"2026-04-14 04:54:25.647","2026-04-27 04:05:31.806"
"cmny5d5ki002fif0411euj8gc","C.01152","Alfa Tani Garung","C.01152","Dieng, Barung, Garung, Kec. Garung",-7.2962787,109.9207561,"+62 822-2119-0553",,"2026-04-14 04:54:25.651","2026-04-27 04:05:31.81"
"cmny5d5km002gif04c69ub9qd","C.01989","Alfa Tani Kalikajar Wonosobo","C.01989","JX29+WPF Maduretno, Kabupaten Wonosobo, Jawa Tengah",-7.397667,109.9692778,"+62 822-8320-1712",,"2026-04-14 04:54:25.654","2026-04-27 04:05:31.814"
"cmny5d5kp002hif04w6ue4e46","C.02112","Alfha Tani Losari Banyumas","C.02112","C5G5+MRM Losari, Kabupaten Banyumas, Jawa Tengah",-7.573289,109.159556,"085712760597",,"2026-04-14 04:54:25.658","2026-04-27 04:05:31.818"
"cmny5d5kt002iif042fio495g","C.02366","Alfi Tani Purbalingga","C.02366","Q78C+CCR Serang, Kabupaten Purbalingga, Jawa Tengah",-7.23389,109.271003,"08895906034",,"2026-04-14 04:54:25.661","2026-04-27 04:05:31.822"
"cmny5d5kx002jif043u3id5nj","C.02610","Alfin Tani Tegalsari Pemalang","C.02610","Tegalsari, Pemalang Regency, Central Java, Indonesia",-6.969404,109.4524595,"082324871683",,"2026-04-14 04:54:25.665","2026-04-27 04:05:31.825"
"cmny5d5l0002kif04ea9d64ev","C.00813","Alfina Jaya","C.00813","Sure RT 004/002, sidomulyo, wonosalam Jl. pengampon",-6.91683,110.66057,"+62 812-6633-5515",,"2026-04-14 04:54:25.668","2026-04-27 04:05:31.829"
"cmny5d5l4002lif04d6xmfe7w","C.00493","Alfista Green Jatinom","C.00493","
Indonesia",-7.6532331,110.554595,,,"2026-04-14 04:54:25.672","2026-04-27 04:05:31.833"
"cmny5d5l7002mif0436kerrqi","NT/118","Ali","NT/118","Jl. Dusun Gares Rt 001 / Rw 008 Kel. Kliris Kec. Boja",-7.108849,110.323118,,,"2026-04-14 04:54:25.675","2026-04-27 04:05:31.837"
"cmny5d5la002nif043re22xkf","C.02436","Alika Binangun Cilacap","C.02436","Jl. Raya Babakan, Kepudang, Kec. Binangun, Kabupaten Cilacap, Jawa Tengah",-7.6631229,109.2161954,"089658413200",,"2026-04-14 04:54:25.679","2026-04-27 04:05:31.845"
"cmny5d5le002oif04ea6qi6wn","C.00546","Altencha Tani / Agriaku","C.00546","X44G+9JF, Ciplukan Wetan, Sidokumpul, Kecamatan Patean",-7.0440625,110.123972,,,"2026-04-14 04:54:25.682","2026-04-27 04:05:31.848"
"cmny5d5li002pif04tn4vjduy","C.00735","Alvin","C.00735","Wonosari, Kec. Bonang",-6.8558625,110.642926,"0882003253544",,"2026-04-14 04:54:25.686","2026-04-27 04:05:31.852"
"cmny5d5ll002qif045t1pk7fa","C.01666","Alya Tani Pulokulon Grobogan","C.01666","R3P6+VJW Jatiharjo, Kabupaten Grobogan, Jawa Tengah",-7.1608552,111.0597432,"0882007615430",,"2026-04-14 04:54:25.689","2026-04-27 04:05:31.856"
"cmny5d5lo002rif041h49c678","C.01688","Amanah Putra Puring Kebumen","C.01688","Jl. Puring-Petanahan No.Km, RW.7, Kamulyan, Kaleng, Kec. Puring, Kabupaten Kebumen, Jawa Tengah 54383",-7.740159,109.542141,"085702401190",,"2026-04-14 04:54:25.693","2026-04-27 04:05:31.86"
"cmny5d5lr002sif04mwx02atj","C.00703","Amanah Secang Magelang","C.00703","Pojok, Pucang, Kec. Secang",-7.413796412,110.257752913,"+62 813-9204-6397",,"2026-04-14 04:54:25.696","2026-04-27 04:05:31.863"
"cmny5d5lv002tif04tr4pyuau","C.00303","Amanah Tani Bantul","C.00303","X8X8+48G, Jalan, Duwuran, Parangtritis, Kretek",-8.0021878,110.3158309,"+62 895-3192-2221",,"2026-04-14 04:54:25.699","2026-04-27 04:05:31.867"
"cmny5d5ly002uif045x0vwivd","C.01285","Amanah Tani Jumo Temanggung","C.01285","Q4G2+C2X Jumo, Kabupaten Temanggung, Jawa Tengah",-7.2238803,110.0975423,"+62 813-2741-1277",,"2026-04-14 04:54:25.703","2026-04-27 04:05:31.871"
"cmny5d5m2002vif046mrppwt8","C.00339","Amanah Tani Kaliangkrik","C.00339","Raya Kaliangkrik, Temanggung, Kec. Kaliangkrik",-7.4625556,110.0971944,"+62 813-2757-4847",,"2026-04-14 04:54:25.706","2026-04-27 04:05:31.875"
